상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)불타는형제들,불타는 형제들,이병순,한식,2020.07.09,2020.07.09,031  -  527  -  5338,0504  -  379  -  8425,20190992,2019.09.25,2021.02.05,우 : 12247 경기도 남양주시 진건읍 고재로21번길 8 1층,법인,284111  -  0236955,735  -  88  -  01710, , , , , , , , , , , , , , , , , , ,1,0,2018  -  01  -  30,12,0,0,0,5,0,0,0,0,0,0,0,0  개,예치제,"7,500",0,0,0,"5,500",0,"2,000",880,"8,380",0 ,26 ,0 ,2,1
상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)더본코리아,뺵다방베이커리,백종원,제과제빵,1994.01.12,1994.01.12,02  -  549  -  3864,02  -  511  -  3864,20191285,2019.12.02,2021.02.05,우 : 06119 서울특별시 강남구 봉은사로1길 39 5~6층,법인,110111  -  1002122,211  -  86  -  00870,"109,014,451","44,715,637","64,298,814","120,090,805","11,268,245","7,953,088","89,729,934","33,465,620","56,264,314","177,629,625","10,198,075","6,586,517","84,998,333","35,339,190","49,659,143","174,084,567","12,807,635","5,982,224",21,0,2019  -  12  -  19,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"24,500",0,0,0,"13,200","3,300","8,000","209,610","234,110","2,000 ",132 ,"80,000 ",2,1
상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)에쓰컬쳐,존쿡델리미트,조성수,기타 외국식,2016.06.02,2016.05.27,02  -  2140  -  9543,02  -  420  -  6061,20191263,2019.11.25,2021.02.05,우 : 17514 경기도 안성시 삼죽면 강촌길 4 1층,법인,134611  -  0078837,385  -  87  -  00353, , , , , , ,"833,006","1,210,491","-377,485","5,805,596","-797,603","-749,657","1,308,398","1,636,225","-327,827","4,519,114","-415,236","-424,826",2,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,보험,"28,000",0,0,0,"16,500","5,500","5,500","130,680","158,180","2,420 ",76 ,"55,660 ",2,1
상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)에쓰컬쳐,샌드위밋,조성수,기타 외국식,2016.06.02,2016.05.27,02  -  2140  -  9543,02  -  420  -  6061,20191264,2019.11.25,2021.02.05,우 : 17514 경기도 안성시 삼죽면 강촌길 4 1층,법인,134611  -  0078837,385  -  87  -  00353,"4,076,207","4,760,609","-684,402","12,300,036","-255,118","-306,916","833,006","1,210,491","-377,485","5,805,596","-797,603","-749,657","1,308,398","1,636,225","-327,827","4,519,114","-415,236","-424,826",2,0,가맹계약 체결 사실이 없습니다.,0,0,0,0,0,0,0,0,0,0,0,0,0  개,예치제,"24,800",0,0,0,"15,400","4,400","5,000","102,088","126,888","2,145 ",50 ,"32,175 ",2,1
상호,영업표지,대표자,업종,법인설립등기일,사업자등록일,대표번호,대표팩스 번호,등록번호,최초등록일,최종등록일,주소,사업자유형,법인등록번호,사업자등록번호,2019년 자산,2019년 부채,2019년 자본,2019년 매출액,2019년 영업이익,2019년 당기순이익,2018년 자산,2018년 부채,2018년 자본,2018년 매출액,2018년 영업이익,2018년 당기순이익,2017년 자산,2017년 부채,2017년 자본,2017년 매출액,2017년 영업이익,2017년 당기순이익,브랜드 수,가맹사업 계열사 수,가맹사업 개시일,2019년 신규개점,2019년 계약종료,2019년 계약해지,2019년 명의변경,2018년 신규개점,2018년 계약종료,2018년 계약해지,2018년 명의변경,2017년 신규개점,2017년 계약종료,2017년 계약해지,2017년 명의변경,"가맹지역본부(지사,지역총판)수",형태,예치 가맹금,공정거래위원회의 시정조치,민사소송 패소 및 민사상 화해,형의 선고,가입비(가맹비),교육비,보증금,기타비용,합계,단위면적(3.3㎡)당 인테리어 비용,기준점포면적(㎡),인테리어 비용,최초 계약기간,연장 계약기간
(주)반반한행복,"고기,원칙",이기원,한식,2016.07.27,2016.08.01,031  -  221  -  7224,031  -  374  -  7223,20171271,2017.11.02,2021.02.05,우 : 18112 경기도 오산시 경기대로658번길 27-23 2층 (내삼미동),법인,134111  -  0446365,895  -  81  -  00464,"713,273","197,451","515,822","4,218,970","423,740","380,127","282,816","147,122","135,694","1,901,616","204,073","187,228","31,175","82,709","-51,534","353,985","-26,861","-28,926",1,0,2017  -  04  -  24,35,0,1,0,13,0,0,1,5,0,0,0,0  개,보험,"15,400",0,0,0,"11,000","4,400",0,"73,370","88,770","1,419 ",99 ,"42,570 ",2,2
